code,name,industry,enabled,weight,note,theme1,theme2,theme3
7203,トヨタ自動車,自動車,TRUE,1,,北米市場,中国市場,自動運転・ADAS
7267,本田技研工業,自動車,TRUE,1,,北米市場,自動運転・ADAS,EV電池・蓄電池
7202,いすゞ自動車,自動車,TRUE,1,,東南アジア・インド,物流・EC配送需要,人手不足・省人化
7272,ヤマハ発動機,自動車,TRUE,1,,東南アジア・インド,北米市場,スポーツ・レジャー
6902,デンソー,自動車,TRUE,1,,自動運転・ADAS,電子部品需要,人手不足・省人化
7261,マツダ,自動車,TRUE,1,,北米市場,中国市場,自動運転・ADAS
5108,ブリヂストン,自動車,TRUE,1,,北米市場,EV電池・蓄電池,原油・石油価格
7269,スズキ,自動車,TRUE,1,,東南アジア・インド,インド市場,国内消費・個人消費
7270,SUBARU,自動車,TRUE,1,,北米市場,自動運転・ADAS,防衛・安全保障

7011,三菱重工業,産業・建設機械,TRUE,1,,防衛・安全保障,宇宙,原子力
7012,川崎重工業,産業・建設機械,TRUE,1,,防衛・安全保障,航空エンジン,宇宙
7013,IHI,産業・建設機械,TRUE,1,,航空エンジン,防衛・安全保障,宇宙
6301,小松製作所,産業・建設機械,TRUE,1,,北米市場,鉱山資源需要,人手不足・省人化
6305,日立建機,産業・建設機械,TRUE,1,,北米市場,鉱山資源需要,人手不足・省人化
6326,クボタ,産業・建設機械,TRUE,1,,東南アジア・インド,水・インフラ需要,人手不足・省人化
6954,ファナック,産業・建設機械,TRUE,1,,ロボット・自動化,FA・スマートファクトリー,中国市場
6506,安川電機,産業・建設機械,TRUE,1,,ロボット・自動化,FA・スマートファクトリー,EV電池・蓄電池
6273,SMC,産業・建設機械,TRUE,1,,ロボット・自動化,FA・スマートファクトリー,人手不足・省人化

6861,キーエンス,精密機械,TRUE,1,,FA・スマートファクトリー,ロボット・自動化,人手不足・省人化
7751,キヤノン,精密機械,TRUE,1,,医療機器需要,北米市場,デジタル化・DX
7741,HOYA,精密機械,TRUE,1,,医療機器需要,半導体製造装置需要,北米市場
7731,ニコン,精密機械,TRUE,1,,半導体製造装置需要,北米市場,光学技術
7752,リコー,精密機械,TRUE,1,,クラウド・DX,人手不足・省人化,国内企業DX
6645,オムロン,精密機械,TRUE,1,,ロボット・自動化,医療機器需要,人手不足・省人化
7733,オリンパス,精密機械,TRUE,1,,医療機器需要,北米市場,高齢化
6594,ニデック,精密機械,TRUE,1,,電子部品需要,自動運転・ADAS,EV電池・蓄電池
6724,セイコーエプソン,精密機械,TRUE,1,,デジタル化・DX,電子部品需要,中国市場

6383,ダイフク,物流・鉄道・船・航空,TRUE,1,,物流・EC配送需要,ロボット・自動化,EC・デジタルプラットフォーム
9101,日本郵船,物流・鉄道・船・航空,TRUE,1,,LNG・天然ガス,原油・石油価格,世界貿易
9104,商船三井,物流・鉄道・船・航空,TRUE,1,,LNG・天然ガス,原油・石油価格,世界貿易
9020,JR東日本,物流・鉄道・船・航空,TRUE,1,,インバウンド・訪日需要,不動産価格・都市再開発,国内消費・個人消費
9022,JR東海,物流・鉄道・船・航空,TRUE,1,,インバウンド・訪日需要,不動産価格・都市再開発,国内消費・個人消費
9005,東急,物流・鉄道・船・航空,TRUE,1,,不動産価格・都市再開発,インバウンド・訪日需要,国内消費・個人消費
9041,近鉄GHD,物流・鉄道・船・航空,TRUE,1,,インバウンド・訪日需要,不動産価格・都市再開発,スポーツ・レジャー
9023,東京地下鉄,物流・鉄道・船・航空,TRUE,1,,不動産価格・都市再開発,インバウンド・訪日需要,国内消費・個人消費
9202,ANA HD,物流・鉄道・船・航空,TRUE,1,,インバウンド・訪日需要,北米市場,欧州市場
9201,日本航空,物流・鉄道・船・航空,TRUE,1,,インバウンド・訪日需要,北米市場,欧州市場

6723,ルネサスエレクトロニクス,半導体,TRUE,1,,自動運転・ADAS,EV電池・蓄電池,電子部品需要
285A,キオクシアHD,半導体,TRUE,1,,AI・生成AI,データセンター,中国市場
6526,ソシオネクスト,半導体,TRUE,1,,AI・生成AI,自動運転・ADAS,電子部品需要
8035,東京エレクトロン,半導体,TRUE,1,,AI・生成AI,半導体製造装置需要,中国市場
6857,アドバンテスト,半導体,TRUE,1,,AI・生成AI,データセンター,北米市場
6920,レーザーテック,半導体,TRUE,1,,半導体製造装置需要,AI・生成AI,北米市場
3132,マクニカHD,半導体,TRUE,1,,AI・生成AI,サイバーセキュリティ,データセンター

6752,パナソニックHD,家電・部品,TRUE,1,,EV電池・蓄電池,北米市場,データセンター
6758,ソニーG,家電・部品,TRUE,1,,コンテンツ・IP・ゲーム,イメージセンサー,北米市場
6501,日立製作所,家電・部品,TRUE,1,,データセンター,クラウド・DX,電力網・送配電
6503,三菱電機,家電・部品,TRUE,1,,FA・スマートファクトリー,防衛・安全保障,電力網・送配電
6981,村田製作所,家電・部品,TRUE,1,,電子部品需要,EV電池・蓄電池,中国市場
6367,ダイキン工業,家電・部品,TRUE,1,,北米市場,中国市場,データセンター

4704,トレンドマイクロ,通信,TRUE,1,,サイバーセキュリティ,クラウド・DX,AI・生成AI
6702,富士通,通信,TRUE,1,,クラウド・DX,AI・生成AI,サイバーセキュリティ
6701,NEC,通信,TRUE,1,,防衛・安全保障,AI・生成AI,サイバーセキュリティ
9432,NTT,通信,TRUE,1,,データセンター,AI・生成AI,クラウド・DX
9433,KDDI,通信,TRUE,1,,データセンター,クラウド・DX,インフラ投資
9434,ソフトバンク,通信,TRUE,1,,AI・生成AI,データセンター,EC・デジタルプラットフォーム
9984,ソフトバンクG,通信,TRUE,1,,AI・生成AI,株式市場・資産価格,北米市場
2413,エムスリー,通信,TRUE,1,,医療DX,高齢化,AI・生成AI
4689,LINEヤフー,通信,TRUE,1,,EC・デジタルプラットフォーム,デジタル広告,AI・生成AI
9449,GMOインターネットG,通信,TRUE,1,,EC・デジタルプラットフォーム,クラウド・DX,金利・金融市場

1963,日揮HD,エネルギー,TRUE,1,,LNG・天然ガス,水素・アンモニア,原子力
9501,東京電力HD,エネルギー,TRUE,1,,原子力,電力網・送配電,再生可能エネルギー
9503,関西電力,エネルギー,TRUE,1,,原子力,電力網・送配電,再生可能エネルギー
9531,東京ガス,エネルギー,TRUE,1,,LNG・天然ガス,水素・アンモニア,再生可能エネルギー
5020,ENEOS HD,エネルギー,TRUE,1,,原油・石油価格,水素・アンモニア,再生可能エネルギー
5019,出光興産,エネルギー,TRUE,1,,原油・石油価格,水素・アンモニア,EV電池・蓄電池
1605,INPEX,エネルギー,TRUE,1,,原油・石油価格,LNG・天然ガス,水素・アンモニア
9519,レノバ,エネルギー,TRUE,1,,再生可能エネルギー,水素・アンモニア,電力網・送配電

5401,日本製鉄,材料,TRUE,1,,北米市場,自動車需要,原油・石油価格
5411,JFE HD,材料,TRUE,1,,自動車需要,水素・アンモニア,中国市場
5713,住友金属鉱山,材料,TRUE,1,,EV電池・蓄電池,中国市場,鉱山資源需要
5802,住友電工,材料,TRUE,1,,EV電池・蓄電池,データセンター,電力網・送配電
5741,UACJ,材料,TRUE,1,,EV電池・蓄電池,北米市場,自動車需要
8088,岩谷産業,材料,TRUE,1,,水素・アンモニア,LNG・天然ガス,原油・石油価格
5333,日本ガイシ,材料,TRUE,1,,電力網・送配電,EV電池・蓄電池,電子部品需要
5233,太平洋セメント,材料,TRUE,1,,不動産価格・都市再開発,北米市場,インフラ投資
3861,王子HD,材料,TRUE,1,,EC・デジタルプラットフォーム,東南アジア・インド,北米市場
7911,TOPPAN HD,材料,TRUE,1,,クラウド・DX,デジタル広告,電子部品需要

4188,三菱ケミカルG,化学,TRUE,1,,EV電池・蓄電池,半導体材料,水素・アンモニア
3402,東レ,化学,TRUE,1,,EV電池・蓄電池,航空エンジン,北米市場
4063,信越化学,化学,TRUE,1,,半導体材料,EV電池・蓄電池,中国市場
4005,住友化学,化学,TRUE,1,,半導体材料,農業需要,中国市場
4204,積水化学,化学,TRUE,1,,EV電池・蓄電池,住宅需要,北米市場
5201,AGC,化学,TRUE,1,,EV電池・蓄電池,半導体材料,北米市場
4901,富士フイルムHD,化学,TRUE,1,,新薬・創薬,医療機器需要,AI・生成AI
3407,旭化成,化学,TRUE,1,,EV電池・蓄電池,住宅需要,高齢化

8306,三菱UFJ FG,銀行・保険,TRUE,1,,金利・金融市場,北米市場,株式市場・資産価格
8316,三井住友FG,銀行・保険,TRUE,1,,金利・金融市場,北米市場,東南アジア・インド
8411,みずほFG,銀行・保険,TRUE,1,,金利・金融市場,中国市場,株式市場・資産価格
8601,大和証券G,銀行・保険,TRUE,1,,株式市場・資産価格,金利・金融市場,北米市場
8750,第一生命HD,銀行・保険,TRUE,1,,金利・金融市場,北米市場,株式市場・資産価格
8766,東京海上HD,銀行・保険,TRUE,1,,北米市場,自然災害リスク,株式市場・資産価格
6178,日本郵政,銀行・保険,TRUE,1,,金利・金融市場,国内消費・個人消費,株式市場・資産価格
7182,ゆうちょ銀行,銀行・保険,TRUE,1,,金利・金融市場,株式市場・資産価格,国内消費・個人消費
7181,かんぽ生命,銀行・保険,TRUE,1,,金利・金融市場,高齢化,株式市場・資産価格
8630,SOMPO HD,銀行・保険,TRUE,1,,北米市場,自然災害リスク,株式市場・資産価格

8591,オリックス,金融サービス・リース,TRUE,1,,株式市場・資産価格,航空・空港,再生可能エネルギー
8593,三菱HCキャピタル,金融サービス・リース,TRUE,1,,航空・空港,再生可能エネルギー,データセンター
8439,東京センチュリー,金融サービス・リース,TRUE,1,,航空・空港,データセンター,不動産価格・都市再開発
