code,name,industry,enabled,weight,note,theme1,theme2,theme3
6857,アドバンテスト,半導体・製造装置,TRUE,1,,半導体,AI,データセンター
8035,東京エレクトロン,半導体・製造装置,TRUE,1,,半導体,AI,データセンター
6920,レーザーテック,半導体・製造装置,TRUE,1,,半導体,AI,先端技術
7735,SCREENホールディングス,半導体・製造装置,TRUE,1,,半導体,AI,データセンター
6146,ディスコ,半導体・製造装置,TRUE,1,,半導体,AI,先端技術

6758,ソニーグループ,電機・精密,TRUE,1,,ゲーム・エンタメ,コンテンツ,AI
6501,日立製作所,電機・精密,TRUE,1,,AI,データセンター,インフラ更新
6503,三菱電機,電機・精密,TRUE,1,,FA・省人化,AI,防衛
6752,パナソニックHD,電機・精密,TRUE,1,,電池,EV,エネルギー
6645,オムロン,電機・精密,TRUE,1,,FA・省人化,ロボット,医療機器

7203,トヨタ,自動車,TRUE,1,,EV,自動運転,水素
7267,ホンダ,自動車,TRUE,1,,EV,自動運転,水素
7201,日産,自動車,TRUE,1,,EV,自動運転,電池
7269,スズキ,自動車,TRUE,1,,EV,インド・新興国,
7270,SUBARU,自動車,TRUE,1,,自動運転,EV,防衛

6902,デンソー,自動車部品,TRUE,1,,EV,自動運転,半導体
7259,アイシン,自動車部品,TRUE,1,,EV,自動運転,電池
7276,小糸製作所,自動車部品,TRUE,1,,自動運転,EV,安全技術

8058,三菱商事,総合商社,TRUE,1,,資源・鉱山,エネルギー,インフラ更新
8031,三井物産,総合商社,TRUE,1,,資源・鉱山,エネルギー,インフラ更新
8001,伊藤忠商事,総合商社,TRUE,1,,小売・消費,食品,インバウンド
8053,住友商事,総合商社,TRUE,1,,インフラ更新,エネルギー,通信
2768,双日,総合商社,TRUE,1,,航空・宇宙,インフラ更新,資源・鉱山

8316,三井住友FG,銀行,TRUE,1,,銀行・金融,フィンテック,
8306,三菱UFJFG,銀行,TRUE,1,,銀行・金融,フィンテック,AI
8411,みずほFG,銀行,TRUE,1,,銀行・金融,フィンテック,AI

9432,NTT,通信,TRUE,1,,データセンター,AI,インフラ更新
9433,KDDI,通信,TRUE,1,,データセンター,AI,インフラ更新
9434,ソフトバンク,通信,TRUE,1,,AI,データセンター,通信
9984,ソフトバンクG,通信・IT投資,TRUE,1,,AI,半導体,データセンター

7974,任天堂,ゲーム・エンタメ,TRUE,1,,ゲーム・エンタメ,コンテンツ,インバウンド
9697,カプコン,ゲーム・エンタメ,TRUE,1,,ゲーム・エンタメ,コンテンツ,インバウンド
9766,コナミG,ゲーム・エンタメ,TRUE,1,,ゲーム・エンタメ,コンテンツ,インバウンド
7832,バンダイナムコHD,ゲーム・エンタメ,TRUE,1,,ゲーム・エンタメ,コンテンツ,インバウンド

4502,武田,医薬品,TRUE,1,,医薬品,,
4568,第一三共,医薬品,TRUE,1,,医薬品,,
4503,アステラス,医薬品,TRUE,1,,医薬品,,
4519,中外,医薬品,TRUE,1,,医薬品,
4523,エーザイ,医薬品,TRUE,1,,医薬品,,

9101,日本郵船,海運,TRUE,1,,海運,物流,資源・鉱山
9104,商船三井,海運,TRUE,1,,海運,物流,資源・鉱山
9107,川崎汽船,海運,TRUE,1,,海運,物流,
